fullvisitorid,channelgrouping,time,country,city,totaltransactionrevenue,transactions,timeonsite,pageviews,sessionqualitydim,date,visitid,type,productquantity,productprice,productsku,v2productname,v2productcategory,productvariant,currencycode,transactionrevenue,transactionid,pagetitle,searchkeyword,pagepathlevel1,ecommerceaction_type,ecommerceaction_step,ecommerceaction_option
1.02E+18,Organic Search,75559,Ireland,not available in demo dataset,NULL,NULL,75559,4,NULL,2017-05-19,1495197041,PAGE,NULL,22,GGOEGAAX0761,Android Stretch Fit Hat Black,Home/Apparel/Headgear/,(not set),USD,NULL,NULL,Headgear | Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
2.92E+18,Organic Search,0,Australia,Brisbane,NULL,NULL,0,1,1,2017-07-23,1500871622,PAGE,NULL,30,GGOEGAAX0351,YouTube Men's Vintage Henley,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,NULL,NULL,Men's T-Shirts | Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
1.01E+18,Organic Search,11830,Turkey,Istanbul,NULL,NULL,11830,2,NULL,2017-06-19,1497874091,PAGE,NULL,4,GGOEGOAQ018099,Pen Pencil & Highlighter Set,(not set),(not set),USD,NULL,NULL,Store search results,NULL,/asearch.html,0,1,NULL
5.45E+18,Organic Search,0,India,not available in demo dataset,NULL,NULL,0,1,1,2017-07-28,1501239183,PAGE,NULL,3,GGOEWFKA082999,Waze Baby on Board Window Decal,Home/Accessories/Stickers/,(not set),USD,NULL,NULL,Stickers | Accessories | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
6.04E+17,Paid Search,4208,United States,not available in demo dataset,NULL,NULL,4208,5,NULL,2017-06-01,1496350355,PAGE,NULL,23,GGOEGHPB003410,Google Snapback Hat Black,Home/Apparel/,(not set),USD,NULL,NULL,Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
3.53E+18,Direct,0,United States,not available in demo dataset,NULL,NULL,0,2,NULL,2017-05-20,1495326607,PAGE,NULL,17,GGOEGAAX0104,Google Men's 100% Cotton Short Sleeve Hero Tee White,Home/Apparel/Men's/,(not set),USD,NULL,NULL,Men's Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
4.98E+18,Referral,13358,United States,Austin,NULL,NULL,13358,2,NULL,2017-06-14,1497462687,PAGE,NULL,9,GGOEGFQB013799,Compact Selfie Stick,Home/Electronics/,(not set),USD,NULL,NULL,Electronics | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
1.99E+17,Direct,22949,Japan,not available in demo dataset,NULL,NULL,22949,8,NULL,2017-07-01,1498912286,PAGE,NULL,2,GGOEGKAA019299,Switch Tone Color Crayon Pen,Home/Office/,(not set),USD,NULL,NULL,Office | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
8.38E+18,Organic Search,0,United States,not available in demo dataset,NULL,NULL,0,3,NULL,2017-06-06,1496797584,PAGE,NULL,5,GGOEYDHJ056099,22 oz YouTube Bottle Infuser,Home/Shop by Brand/YouTube/,(not set),USD,NULL,NULL,YouTube | Shop by Brand | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
6.96E+18,Referral,11720,United States,Mountain View,NULL,NULL,11720,4,1,2017-07-10,1499719197,PAGE,NULL,6,GGOEGCBB074199,Google Car Clip Phone Holder,Home/Electronics/Electronics Accessories/,(not set),USD,NULL,NULL,Accessories | Electronics | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
